description,startTime,endTime,captivating_index
Shohei Ohtani doubles (22) on a fly ball to left fielder Lourdes Gurriel Jr.,2024-07-03T02:17:48.792Z,2024-07-03T02:19:02.806Z,34
"Teoscar Hernández doubles (17) on a sharp line drive to right fielder Corbin Carroll.   Shohei Ohtani scores.    Teoscar Hernández to 3rd.  Teoscar Hernández advances to 3rd, on a fielding error by right fielder Corbin Carroll.",2024-07-03T02:25:04.502Z,2024-07-03T02:25:44.440Z,61
Chris Taylor singles on a ground ball to right fielder Corbin Carroll.,2024-07-03T02:39:40.023Z,2024-07-03T02:40:51.991Z,33
Will Smith singles on a ground ball to left fielder Lourdes Gurriel Jr.,2024-07-03T02:56:10.710Z,2024-07-03T02:57:38.208Z,33
Freddie Freeman singles on a sharp ground ball to left fielder Lourdes Gurriel Jr.  Will Smith to 3rd.,2024-07-03T02:57:48.537Z,2024-07-03T02:58:33.178Z,33
Joc Pederson singles on a sharp ground ball to right fielder Jason Heyward.,2024-07-03T03:03:44.568Z,2024-07-03T03:04:50.774Z,33
Christian Walker homers (18) on a fly ball to center field.   Joc Pederson scores.,2024-07-03T03:05:10.454Z,2024-07-03T03:07:37.784Z,75
Lourdes Gurriel Jr.  singles on a ground ball to left fielder Teoscar Hernández.,2024-07-03T03:07:48.382Z,2024-07-03T03:08:11.441Z,33
Gabriel Moreno singles on a sharp ground ball to right fielder Jason Heyward.   Lourdes Gurriel Jr.  to 2nd.,2024-07-03T03:08:44.115Z,2024-07-03T03:09:52.204Z,33
Shohei Ohtani singles on a fly ball to center fielder Alek Thomas.,2024-07-03T03:35:08.335Z,2024-07-03T03:36:08.405Z,33
Eugenio Suárez singles on a line drive to left fielder Teoscar Hernández.,2024-07-03T03:45:37.818Z,2024-07-03T03:47:07.252Z,33
Teoscar Hernández singles on a ground ball to left fielder Lourdes Gurriel Jr.,2024-07-03T03:51:07.296Z,2024-07-03T03:51:23.808Z,33
Geraldo Perdomo singles on a ground ball to shortstop Miguel Rojas.,2024-07-03T04:00:21.381Z,2024-07-03T04:01:05.910Z,33
Ketel Marte singles on a sharp ground ball to shortstop Miguel Rojas.   Geraldo Perdomo scores.,2024-07-03T04:03:12.337Z,2024-07-03T04:03:47.564Z,60
Christian Walker singles on a fly ball to right fielder Jason Heyward.   Ketel Marte to 2nd.,2024-07-03T04:06:43.662Z,2024-07-03T04:07:21.949Z,33
Shohei Ohtani homers (27) on a fly ball to right center field.    Gavin Lux scores.,2024-07-03T04:13:44.327Z,2024-07-03T04:14:30.029Z,65
"Jake McCarthy singles on a soft bunt ground ball to pitcher Blake Treinen.   Gabriel Moreno scores.    Jake McCarthy to 2nd.  Jake McCarthy advances to 2nd, on a throwing error by pitcher Blake Treinen.",2024-07-03T04:23:28.416Z,2024-07-03T04:23:45.764Z,70
Andy Pages singles on a ground ball to third baseman Kevin Newman.,2024-07-03T04:30:48.847Z,2024-07-03T04:30:59.559Z,33
Joc Pederson homers (11) on a fly ball to right field.,2024-07-03T04:40:51.755Z,2024-07-03T04:42:10.778Z,65
Will Smith doubles (18) on a sharp fly ball to center fielder Alek Thomas.,2024-07-03T04:51:26.720Z,2024-07-03T04:51:44.561Z,34
Freddie Freeman doubles (25) on a line drive to right fielder Corbin Carroll.   Will Smith scores.,2024-07-03T04:52:49.067Z,2024-07-03T04:53:49.045Z,71
Teoscar Hernández singles on a sharp ground ball to left fielder Lourdes Gurriel Jr.  Freddie Freeman scores.,2024-07-03T04:54:18.498Z,2024-07-03T04:54:55.089Z,60
